date,campaign_name,campaign_type,spend,impressions,clicks,conversions,conversion_value,new_customer_conversions,new_customer_value,search_impression_share
2026-04-29,Brand Search | Adapt Naturals + Kresser,Brand Search,372.96,9584,435,41,3177.43,23,2116.0,0.924
2026-04-29,Non-Brand Search | Supplements + Conditions,Non-Brand Search,245.78,3226,126,2,194.7,2,184.0,0.375
2026-04-29,Shopping | Standard | All Products,Shopping,216.89,2798,201,2,172.94,2,184.0,
2026-04-30,Brand Search | Adapt Naturals + Kresser,Brand Search,281.88,4682,373,35,2698.93,19,1748.0,0.925
2026-04-30,Non-Brand Search | Supplements + Conditions,Non-Brand Search,245.37,4769,217,2,187.79,2,184.0,0.343
2026-04-30,Shopping | Standard | All Products,Shopping,201.72,1884,110,3,286.24,2,184.0,
2026-05-01,Brand Search | Adapt Naturals + Kresser,Brand Search,303.61,7450,400,42,3496.8,23,2116.0,0.926
2026-05-01,Non-Brand Search | Supplements + Conditions,Non-Brand Search,256.63,2111,143,2,180.33,2,184.0,0.325
2026-05-01,Shopping | Standard | All Products,Shopping,198.37,2527,119,3,275.77,2,184.0,
2026-05-02,Brand Search | Adapt Naturals + Kresser,Brand Search,330.0,9553,308,46,3797.91,25,2300.0,0.926
2026-05-02,Non-Brand Search | Supplements + Conditions,Non-Brand Search,255.45,4545,280,2,180.18,2,184.0,0.371
2026-05-02,Shopping | Standard | All Products,Shopping,187.98,1550,95,2,187.1,2,184.0,
2026-05-03,Brand Search | Adapt Naturals + Kresser,Brand Search,360.04,13483,600,46,3869.8,25,2300.0,0.927
2026-05-03,Non-Brand Search | Supplements + Conditions,Non-Brand Search,251.92,2057,131,2,179.92,2,184.0,0.379
2026-05-03,Shopping | Standard | All Products,Shopping,228.18,1342,105,2,176.12,2,184.0,
2026-05-04,Brand Search | Adapt Naturals + Kresser,Brand Search,366.43,17617,570,50,4052.99,28,2576.0,0.927
2026-05-04,Non-Brand Search | Supplements + Conditions,Non-Brand Search,237.35,1945,126,2,195.05,2,184.0,0.383
2026-05-04,Shopping | Standard | All Products,Shopping,191.11,4348,150,2,192.64,2,184.0,
2026-05-05,Brand Search | Adapt Naturals + Kresser,Brand Search,360.21,5790,441,41,3128.79,23,2116.0,0.928
2026-05-05,Non-Brand Search | Supplements + Conditions,Non-Brand Search,253.32,2396,136,2,185.56,2,184.0,0.389
2026-05-05,Shopping | Standard | All Products,Shopping,186.65,2860,111,3,272.88,2,184.0,
2026-05-06,Brand Search | Adapt Naturals + Kresser,Brand Search,320.93,11251,463,39,2920.82,21,1932.0,0.928
2026-05-06,Non-Brand Search | Supplements + Conditions,Non-Brand Search,261.44,1516,109,1,89.13,1,92.0,0.396
2026-05-06,Shopping | Standard | All Products,Shopping,215.11,2167,150,2,191.79,2,184.0,
2026-05-07,Brand Search | Adapt Naturals + Kresser,Brand Search,315.52,8005,391,42,3352.29,23,2116.0,0.929
2026-05-07,Non-Brand Search | Supplements + Conditions,Non-Brand Search,231.06,1802,129,2,179.49,2,184.0,0.37
2026-05-07,Shopping | Standard | All Products,Shopping,208.25,1762,139,2,174.72,2,184.0,
2026-05-08,Brand Search | Adapt Naturals + Kresser,Brand Search,375.4,13303,627,45,3538.43,25,2300.0,0.93
2026-05-08,Non-Brand Search | Supplements + Conditions,Non-Brand Search,251.43,3083,163,2,174.54,2,184.0,0.328
2026-05-08,Shopping | Standard | All Products,Shopping,195.83,1514,107,2,175.68,2,184.0,
2026-05-09,Brand Search | Adapt Naturals + Kresser,Brand Search,380.29,4913,348,45,3581.8,25,2300.0,0.93
2026-05-09,Non-Brand Search | Supplements + Conditions,Non-Brand Search,252.58,1924,125,2,198.82,2,184.0,0.355
2026-05-09,Shopping | Standard | All Products,Shopping,206.92,2922,145,2,175.27,2,184.0,
2026-05-10,Brand Search | Adapt Naturals + Kresser,Brand Search,338.19,5151,383,36,2910.47,20,1840.0,0.931
2026-05-10,Non-Brand Search | Supplements + Conditions,Non-Brand Search,253.17,3786,159,2,176.55,2,184.0,0.363
2026-05-10,Shopping | Standard | All Products,Shopping,181.98,3160,163,2,184.72,2,184.0,
2026-05-11,Brand Search | Adapt Naturals + Kresser,Brand Search,404.31,11617,423,62,4932.96,34,3128.0,0.931
2026-05-11,Non-Brand Search | Supplements + Conditions,Non-Brand Search,252.59,2931,124,2,191.02,2,184.0,0.334
2026-05-11,Shopping | Standard | All Products,Shopping,200.87,2664,149,2,179.77,2,184.0,
2026-05-12,Brand Search | Adapt Naturals + Kresser,Brand Search,375.57,17301,583,53,4566.96,29,2668.0,0.932
2026-05-12,Non-Brand Search | Supplements + Conditions,Non-Brand Search,261.98,3976,209,2,185.63,2,184.0,0.361
2026-05-12,Shopping | Standard | All Products,Shopping,185.18,4412,174,2,187.9,2,184.0,
2026-05-13,Brand Search | Adapt Naturals + Kresser,Brand Search,359.64,8727,613,43,3775.41,24,2208.0,0.932
2026-05-13,Non-Brand Search | Supplements + Conditions,Non-Brand Search,240.72,2999,143,2,198.63,2,184.0,0.369
2026-05-13,Shopping | Standard | All Products,Shopping,194.41,3612,151,2,176.88,2,184.0,
2026-05-14,Brand Search | Adapt Naturals + Kresser,Brand Search,405.35,15235,755,53,4199.91,29,2668.0,0.933
2026-05-14,Non-Brand Search | Supplements + Conditions,Non-Brand Search,273.97,5086,223,3,284.36,3,276.0,0.367
2026-05-14,Shopping | Standard | All Products,Shopping,223.24,1944,118,2,185.06,2,184.0,
2026-05-15,Brand Search | Adapt Naturals + Kresser,Brand Search,372.41,10272,387,46,3678.95,25,2300.0,0.933
2026-05-15,Non-Brand Search | Supplements + Conditions,Non-Brand Search,234.67,2003,118,2,183.34,2,184.0,0.363
2026-05-15,Shopping | Standard | All Products,Shopping,215.97,6100,220,2,178.22,2,184.0,
2026-05-16,Brand Search | Adapt Naturals + Kresser,Brand Search,387.0,19204,662,40,3188.42,22,2024.0,0.934
2026-05-16,Non-Brand Search | Supplements + Conditions,Non-Brand Search,239.52,2124,105,2,177.88,2,184.0,0.349
2026-05-16,Shopping | Standard | All Products,Shopping,200.77,1463,102,2,194.07,2,184.0,
2026-05-17,Brand Search | Adapt Naturals + Kresser,Brand Search,330.57,9449,358,41,3348.26,23,2116.0,0.935
2026-05-17,Non-Brand Search | Supplements + Conditions,Non-Brand Search,221.9,1798,143,1,90.24,1,92.0,0.4
2026-05-17,Shopping | Standard | All Products,Shopping,199.62,1948,90,1,93.61,1,92.0,
2026-05-18,Brand Search | Adapt Naturals + Kresser,Brand Search,376.09,7852,432,52,3913.85,29,2668.0,0.935
2026-05-18,Non-Brand Search | Supplements + Conditions,Non-Brand Search,298.91,4071,201,2,186.4,2,184.0,0.36
2026-05-18,Shopping | Standard | All Products,Shopping,186.65,3242,166,2,175.66,2,184.0,
2026-05-19,Brand Search | Adapt Naturals + Kresser,Brand Search,371.36,17591,543,40,3364.43,22,2024.0,0.936
2026-05-19,Non-Brand Search | Supplements + Conditions,Non-Brand Search,265.17,3154,143,2,168.52,2,184.0,0.333
2026-05-19,Shopping | Standard | All Products,Shopping,198.48,2824,140,2,185.42,2,184.0,
2026-05-20,Brand Search | Adapt Naturals + Kresser,Brand Search,360.19,11710,400,58,4819.11,32,2944.0,0.936
2026-05-20,Non-Brand Search | Supplements + Conditions,Non-Brand Search,225.97,1455,107,2,178.65,2,184.0,0.346
2026-05-20,Shopping | Standard | All Products,Shopping,203.3,1392,95,2,184.06,2,184.0,
2026-05-21,Brand Search | Adapt Naturals + Kresser,Brand Search,394.96,7709,529,50,4145.45,28,2576.0,0.937
2026-05-21,Non-Brand Search | Supplements + Conditions,Non-Brand Search,268.74,2241,126,2,185.83,2,184.0,0.392
2026-05-21,Shopping | Standard | All Products,Shopping,224.45,3139,113,3,285.82,2,184.0,
2026-05-22,Brand Search | Adapt Naturals + Kresser,Brand Search,381.75,13035,695,65,5445.13,36,3312.0,0.937
2026-05-22,Non-Brand Search | Supplements + Conditions,Non-Brand Search,269.74,2790,124,3,266.85,3,276.0,0.361
2026-05-22,Shopping | Standard | All Products,Shopping,193.73,1665,124,3,289.27,2,184.0,
2026-05-23,Brand Search | Adapt Naturals + Kresser,Brand Search,368.55,8505,421,64,5140.86,35,3220.0,0.938
2026-05-23,Non-Brand Search | Supplements + Conditions,Non-Brand Search,248.31,3585,132,2,181.54,2,184.0,0.329
2026-05-23,Shopping | Standard | All Products,Shopping,178.91,4262,159,2,169.4,2,184.0,
2026-05-24,Brand Search | Adapt Naturals + Kresser,Brand Search,371.72,6340,355,55,4410.24,30,2760.0,0.939
2026-05-24,Non-Brand Search | Supplements + Conditions,Non-Brand Search,254.62,3236,226,2,202.71,2,184.0,0.347
2026-05-24,Shopping | Standard | All Products,Shopping,194.17,3491,117,2,189.12,2,184.0,
2026-05-25,Brand Search | Adapt Naturals + Kresser,Brand Search,382.89,6245,413,78,6289.36,43,3956.0,0.939
2026-05-25,Non-Brand Search | Supplements + Conditions,Non-Brand Search,259.34,1934,117,4,366.57,4,368.0,0.361
2026-05-25,Shopping | Standard | All Products,Shopping,200.04,2596,197,3,282.56,2,184.0,
2026-05-26,Brand Search | Adapt Naturals + Kresser,Brand Search,358.92,10169,566,75,5889.96,41,3772.0,0.94
2026-05-26,Non-Brand Search | Supplements + Conditions,Non-Brand Search,239.78,2180,123,2,193.86,2,184.0,0.362
2026-05-26,Shopping | Standard | All Products,Shopping,209.31,3265,102,3,276.22,2,184.0,
2026-05-27,Brand Search | Adapt Naturals + Kresser,Brand Search,402.71,10029,536,42,3340.66,23,2116.0,0.94
2026-05-27,Non-Brand Search | Supplements + Conditions,Non-Brand Search,220.7,3428,132,2,195.54,2,184.0,0.328
2026-05-27,Shopping | Standard | All Products,Shopping,196.38,3825,168,2,174.73,2,184.0,
2026-05-28,Brand Search | Adapt Naturals + Kresser,Brand Search,392.3,13678,438,44,3560.02,24,2208.0,0.941
2026-05-28,Non-Brand Search | Supplements + Conditions,Non-Brand Search,234.19,3381,194,2,181.73,2,184.0,0.37
2026-05-28,Shopping | Standard | All Products,Shopping,202.57,1580,104,2,173.61,2,184.0,
2026-05-29,Brand Search | Adapt Naturals + Kresser,Brand Search,400.76,18079,682,35,2675.53,19,1748.0,0.941
2026-05-29,Non-Brand Search | Supplements + Conditions,Non-Brand Search,220.56,3262,150,2,175.92,2,184.0,0.373
2026-05-29,Shopping | Standard | All Products,Shopping,215.51,1711,94,2,190.44,2,184.0,
2026-05-30,Brand Search | Adapt Naturals + Kresser,Brand Search,436.22,7650,558,48,3915.6,26,2392.0,0.942
2026-05-30,Non-Brand Search | Supplements + Conditions,Non-Brand Search,279.42,4765,186,2,193.4,2,184.0,0.349
2026-05-30,Shopping | Standard | All Products,Shopping,208.17,2738,119,2,186.71,2,184.0,
2026-05-31,Brand Search | Adapt Naturals + Kresser,Brand Search,416.73,7293,445,40,3213.8,22,2024.0,0.942
2026-05-31,Non-Brand Search | Supplements + Conditions,Non-Brand Search,203.01,4736,179,1,95.49,1,92.0,0.354
2026-05-31,Shopping | Standard | All Products,Shopping,207.88,2354,125,1,96.48,1,92.0,
2026-06-01,Brand Search | Adapt Naturals + Kresser,Brand Search,398.88,11136,363,68,5292.96,37,3404.0,0.943
2026-06-01,Non-Brand Search | Supplements + Conditions,Non-Brand Search,258.1,1495,114,2,201.54,2,184.0,0.399
2026-06-01,Shopping | Standard | All Products,Shopping,224.08,2502,99,2,179.22,2,184.0,
2026-06-02,Brand Search | Adapt Naturals + Kresser,Brand Search,406.78,9830,420,41,3076.19,23,2116.0,0.944
2026-06-02,Non-Brand Search | Supplements + Conditions,Non-Brand Search,240.49,2791,137,2,186.88,2,184.0,0.346
2026-06-02,Shopping | Standard | All Products,Shopping,213.88,2195,105,2,183.88,2,184.0,
2026-06-03,Brand Search | Adapt Naturals + Kresser,Brand Search,387.24,15394,534,50,4227.3,28,2576.0,0.944
2026-06-03,Non-Brand Search | Supplements + Conditions,Non-Brand Search,273.44,2371,182,2,187.35,2,184.0,0.372
2026-06-03,Shopping | Standard | All Products,Shopping,177.39,1577,94,2,189.4,2,184.0,
2026-06-04,Brand Search | Adapt Naturals + Kresser,Brand Search,415.53,13142,396,56,4803.54,31,2852.0,0.945
2026-06-04,Non-Brand Search | Supplements + Conditions,Non-Brand Search,251.81,5042,154,2,180.82,2,184.0,0.344
2026-06-04,Shopping | Standard | All Products,Shopping,189.23,1051,84,2,188.35,2,184.0,
2026-06-05,Brand Search | Adapt Naturals + Kresser,Brand Search,450.12,16076,560,48,4003.98,26,2392.0,0.945
2026-06-05,Non-Brand Search | Supplements + Conditions,Non-Brand Search,253.14,2616,135,2,179.95,2,184.0,0.387
2026-06-05,Shopping | Standard | All Products,Shopping,175.62,1526,92,2,182.21,2,184.0,
2026-06-06,Brand Search | Adapt Naturals + Kresser,Brand Search,412.03,6829,504,45,3444.54,25,2300.0,0.946
2026-06-06,Non-Brand Search | Supplements + Conditions,Non-Brand Search,254.15,4879,177,2,183.33,2,184.0,0.385
2026-06-06,Shopping | Standard | All Products,Shopping,187.12,3908,140,1,92.97,1,92.0,
2026-06-07,Brand Search | Adapt Naturals + Kresser,Brand Search,389.66,7044,454,43,3401.02,24,2208.0,0.946
2026-06-07,Non-Brand Search | Supplements + Conditions,Non-Brand Search,255.3,1861,116,1,93.83,1,92.0,0.358
2026-06-07,Shopping | Standard | All Products,Shopping,188.78,2563,100,2,201.26,2,184.0,
2026-06-08,Brand Search | Adapt Naturals + Kresser,Brand Search,434.82,7029,437,55,4728.29,30,2760.0,0.947
2026-06-08,Non-Brand Search | Supplements + Conditions,Non-Brand Search,273.59,3323,222,2,182.74,2,184.0,0.339
2026-06-08,Shopping | Standard | All Products,Shopping,191.38,3340,108,2,184.87,2,184.0,
2026-06-09,Brand Search | Adapt Naturals + Kresser,Brand Search,406.29,9522,620,55,4591.95,30,2760.0,0.948
2026-06-09,Non-Brand Search | Supplements + Conditions,Non-Brand Search,247.85,5830,234,2,182.98,2,184.0,0.346
2026-06-09,Shopping | Standard | All Products,Shopping,194.34,2432,154,2,192.22,2,184.0,
2026-06-10,Brand Search | Adapt Naturals + Kresser,Brand Search,443.32,10867,530,55,4296.27,30,2760.0,0.948
2026-06-10,Non-Brand Search | Supplements + Conditions,Non-Brand Search,235.46,1883,137,2,193.29,2,184.0,0.343
2026-06-10,Shopping | Standard | All Products,Shopping,189.56,3229,185,2,177.68,2,184.0,
2026-06-11,Brand Search | Adapt Naturals + Kresser,Brand Search,454.22,11322,553,72,5675.22,40,3680.0,0.949
2026-06-11,Non-Brand Search | Supplements + Conditions,Non-Brand Search,250.42,5410,244,2,177.8,2,184.0,0.353
2026-06-11,Shopping | Standard | All Products,Shopping,214.71,2258,152,2,182.33,2,184.0,
2026-06-12,Brand Search | Adapt Naturals + Kresser,Brand Search,428.08,8598,550,54,4553.11,30,2760.0,0.949
2026-06-12,Non-Brand Search | Supplements + Conditions,Non-Brand Search,255.94,3325,170,2,197.19,2,184.0,0.369
2026-06-12,Shopping | Standard | All Products,Shopping,169.59,3801,148,1,99.06,1,92.0,
2026-06-13,Brand Search | Adapt Naturals + Kresser,Brand Search,398.06,7222,495,41,3401.18,23,2116.0,0.95
2026-06-13,Non-Brand Search | Supplements + Conditions,Non-Brand Search,252.34,2018,136,2,180.86,2,184.0,0.349
2026-06-13,Shopping | Standard | All Products,Shopping,183.57,1838,123,2,181.13,2,184.0,
2026-06-14,Brand Search | Adapt Naturals + Kresser,Brand Search,426.4,8929,408,51,4073.7,28,2576.0,0.95
2026-06-14,Non-Brand Search | Supplements + Conditions,Non-Brand Search,271.88,3665,139,2,194.8,2,184.0,0.33
2026-06-14,Shopping | Standard | All Products,Shopping,188.79,1805,143,2,198.75,2,184.0,
2026-06-15,Brand Search | Adapt Naturals + Kresser,Brand Search,472.24,13299,581,70,5305.16,38,3496.0,0.951
2026-06-15,Non-Brand Search | Supplements + Conditions,Non-Brand Search,243.24,2001,104,2,178.68,2,184.0,0.378
2026-06-15,Shopping | Standard | All Products,Shopping,174.75,1474,83,2,185.17,2,184.0,
2026-06-16,Brand Search | Adapt Naturals + Kresser,Brand Search,418.33,10960,403,55,4319.36,30,2760.0,0.951
2026-06-16,Non-Brand Search | Supplements + Conditions,Non-Brand Search,256.86,3553,125,2,181.49,2,184.0,0.331
2026-06-16,Shopping | Standard | All Products,Shopping,209.26,2616,174,2,188.2,2,184.0,
2026-06-17,Brand Search | Adapt Naturals + Kresser,Brand Search,431.15,13304,695,65,5070.72,36,3312.0,0.952
2026-06-17,Non-Brand Search | Supplements + Conditions,Non-Brand Search,267.15,2664,203,2,190.35,2,184.0,0.391
2026-06-17,Shopping | Standard | All Products,Shopping,202.36,4957,172,2,180.84,2,184.0,
2026-06-18,Brand Search | Adapt Naturals + Kresser,Brand Search,407.03,19295,694,59,4576.5,32,2944.0,0.953
2026-06-18,Non-Brand Search | Supplements + Conditions,Non-Brand Search,234.75,2796,126,1,90.42,1,92.0,0.332
2026-06-18,Shopping | Standard | All Products,Shopping,209.7,1777,125,2,188.53,2,184.0,
2026-06-19,Brand Search | Adapt Naturals + Kresser,Brand Search,443.71,7605,483,58,4865.03,32,2944.0,0.953
2026-06-19,Non-Brand Search | Supplements + Conditions,Non-Brand Search,248.92,4099,175,2,171.75,2,184.0,0.332
2026-06-19,Shopping | Standard | All Products,Shopping,202.52,3216,121,2,187.25,2,184.0,
2026-06-20,Brand Search | Adapt Naturals + Kresser,Brand Search,479.55,27513,860,57,4518.61,31,2852.0,0.954
2026-06-20,Non-Brand Search | Supplements + Conditions,Non-Brand Search,265.41,1837,141,2,188.31,2,184.0,0.355
2026-06-20,Shopping | Standard | All Products,Shopping,192.22,1154,92,2,173.92,2,184.0,
2026-06-21,Brand Search | Adapt Naturals + Kresser,Brand Search,447.19,12142,717,47,3794.14,26,2392.0,0.954
2026-06-21,Non-Brand Search | Supplements + Conditions,Non-Brand Search,236.19,3319,156,2,199.2,2,184.0,0.347
2026-06-21,Shopping | Standard | All Products,Shopping,209.1,2433,186,2,177.52,2,184.0,
2026-06-22,Brand Search | Adapt Naturals + Kresser,Brand Search,471.08,10914,561,60,4548.87,33,3036.0,0.955
2026-06-22,Non-Brand Search | Supplements + Conditions,Non-Brand Search,241.97,2893,174,2,184.16,2,184.0,0.329
2026-06-22,Shopping | Standard | All Products,Shopping,197.81,3215,101,2,182.93,2,184.0,
2026-06-23,Brand Search | Adapt Naturals + Kresser,Brand Search,487.53,13031,870,54,4281.46,30,2760.0,0.955
2026-06-23,Non-Brand Search | Supplements + Conditions,Non-Brand Search,231.94,1710,118,2,200.39,2,184.0,0.347
2026-06-23,Shopping | Standard | All Products,Shopping,191.91,3122,171,2,180.73,2,184.0,
2026-06-24,Brand Search | Adapt Naturals + Kresser,Brand Search,517.83,7776,488,63,5028.01,35,3220.0,0.956
2026-06-24,Non-Brand Search | Supplements + Conditions,Non-Brand Search,225.55,1288,98,2,185.08,2,184.0,0.337
2026-06-24,Shopping | Standard | All Products,Shopping,180.83,2989,95,2,190.07,2,184.0,
2026-06-25,Brand Search | Adapt Naturals + Kresser,Brand Search,539.93,16661,660,57,4707.1,31,2852.0,0.957
2026-06-25,Non-Brand Search | Supplements + Conditions,Non-Brand Search,240.85,1508,111,2,185.89,2,184.0,0.373
2026-06-25,Shopping | Standard | All Products,Shopping,204.7,2510,140,2,184.69,2,184.0,
2026-06-26,Brand Search | Adapt Naturals + Kresser,Brand Search,484.3,7566,604,58,4803.42,32,2944.0,0.957
2026-06-26,Non-Brand Search | Supplements + Conditions,Non-Brand Search,281.16,4227,240,2,178.04,2,184.0,0.338
2026-06-26,Shopping | Standard | All Products,Shopping,189.94,1571,103,2,187.94,2,184.0,
2026-06-27,Brand Search | Adapt Naturals + Kresser,Brand Search,483.73,12775,885,59,4801.21,32,2944.0,0.958
2026-06-27,Non-Brand Search | Supplements + Conditions,Non-Brand Search,265.41,3822,232,2,184.5,2,184.0,0.339
2026-06-27,Shopping | Standard | All Products,Shopping,201.06,4611,178,2,182.02,2,184.0,
2026-06-28,Brand Search | Adapt Naturals + Kresser,Brand Search,505.3,13206,515,73,5776.82,40,3680.0,0.958
2026-06-28,Non-Brand Search | Supplements + Conditions,Non-Brand Search,246.58,2427,178,2,193.06,2,184.0,0.375
2026-06-28,Shopping | Standard | All Products,Shopping,191.57,2036,152,2,189.74,2,184.0,
2026-06-29,Brand Search | Adapt Naturals + Kresser,Brand Search,488.21,8242,573,48,3812.71,26,2392.0,0.959
2026-06-29,Non-Brand Search | Supplements + Conditions,Non-Brand Search,306.78,3504,131,3,260.56,3,276.0,0.383
2026-06-29,Shopping | Standard | All Products,Shopping,202.51,4725,147,2,174.35,2,184.0,
2026-06-30,Brand Search | Adapt Naturals + Kresser,Brand Search,493.52,11136,492,70,5582.89,38,3496.0,0.959
2026-06-30,Non-Brand Search | Supplements + Conditions,Non-Brand Search,253.4,2698,209,2,188.38,2,184.0,0.334
2026-06-30,Shopping | Standard | All Products,Shopping,225.52,3708,222,2,188.11,2,184.0,
2026-07-01,Brand Search | Adapt Naturals + Kresser,Brand Search,469.36,14647,676,79,6418.26,43,3956.0,0.96
2026-07-01,Non-Brand Search | Supplements + Conditions,Non-Brand Search,246.12,1889,135,2,180.97,2,184.0,0.356
2026-07-01,Shopping | Standard | All Products,Shopping,196.96,2713,117,2,181.62,2,184.0,
2026-07-02,Brand Search | Adapt Naturals + Kresser,Brand Search,463.74,15756,681,62,5076.28,34,3128.0,0.96
2026-07-02,Non-Brand Search | Supplements + Conditions,Non-Brand Search,262.13,2054,143,2,177.15,2,184.0,0.332
2026-07-02,Shopping | Standard | All Products,Shopping,196.18,4969,163,2,181.9,2,184.0,
2026-07-03,Brand Search | Adapt Naturals + Kresser,Brand Search,477.29,13875,881,81,6563.12,45,4140.0,0.961
2026-07-03,Non-Brand Search | Supplements + Conditions,Non-Brand Search,240.09,2654,132,2,172.07,2,184.0,0.38
2026-07-03,Shopping | Standard | All Products,Shopping,219.84,2908,119,2,187.09,2,184.0,
2026-07-04,Brand Search | Adapt Naturals + Kresser,Brand Search,541.83,10977,524,53,4244.14,29,2668.0,0.962
2026-07-04,Non-Brand Search | Supplements + Conditions,Non-Brand Search,228.57,2013,109,1,92.48,1,92.0,0.376
2026-07-04,Shopping | Standard | All Products,Shopping,194.88,1856,126,2,189.26,2,184.0,
2026-07-05,Brand Search | Adapt Naturals + Kresser,Brand Search,590.21,15091,973,64,5679.04,35,3220.0,0.962
2026-07-05,Non-Brand Search | Supplements + Conditions,Non-Brand Search,237.88,2517,152,2,201.83,2,184.0,0.391
2026-07-05,Shopping | Standard | All Products,Shopping,216.61,2777,149,2,180.46,2,184.0,
2026-07-06,Brand Search | Adapt Naturals + Kresser,Brand Search,585.25,17957,1164,89,7109.77,49,4508.0,0.963
2026-07-06,Non-Brand Search | Supplements + Conditions,Non-Brand Search,245.07,1928,103,2,173.35,2,184.0,0.399
2026-07-06,Shopping | Standard | All Products,Shopping,229.25,1797,110,2,197.24,2,184.0,
2026-07-07,Brand Search | Adapt Naturals + Kresser,Brand Search,504.44,15677,691,60,4776.91,33,3036.0,0.963
2026-07-07,Non-Brand Search | Supplements + Conditions,Non-Brand Search,220.11,2808,127,2,189.25,2,184.0,0.352
2026-07-07,Shopping | Standard | All Products,Shopping,191.64,4449,134,2,175.8,2,184.0,
2026-07-08,Brand Search | Adapt Naturals + Kresser,Brand Search,518.89,14800,624,67,5431.53,37,3404.0,0.964
2026-07-08,Non-Brand Search | Supplements + Conditions,Non-Brand Search,254.92,1606,128,2,192.76,2,184.0,0.383
2026-07-08,Shopping | Standard | All Products,Shopping,193.05,1933,105,2,179.68,2,184.0,
2026-07-09,Brand Search | Adapt Naturals + Kresser,Brand Search,621.0,12431,679,80,6001.5,44,4048.0,0.964
2026-07-09,Non-Brand Search | Supplements + Conditions,Non-Brand Search,248.66,3083,213,2,180.05,2,184.0,0.325
2026-07-09,Shopping | Standard | All Products,Shopping,198.64,1972,130,2,186.52,2,184.0,
2026-07-10,Brand Search | Adapt Naturals + Kresser,Brand Search,576.33,22048,769,66,5282.01,36,3312.0,0.965
2026-07-10,Non-Brand Search | Supplements + Conditions,Non-Brand Search,239.91,1796,139,2,190.29,2,184.0,0.387
2026-07-10,Shopping | Standard | All Products,Shopping,192.16,2273,112,2,186.98,2,184.0,
2026-07-11,Brand Search | Adapt Naturals + Kresser,Brand Search,472.91,13125,823,56,4628.69,31,2852.0,0.966
2026-07-11,Non-Brand Search | Supplements + Conditions,Non-Brand Search,264.12,3241,115,2,182.02,2,184.0,0.329
2026-07-11,Shopping | Standard | All Products,Shopping,209.43,3525,107,2,189.16,2,184.0,
2026-07-12,Brand Search | Adapt Naturals + Kresser,Brand Search,522.1,15253,647,46,3752.94,25,2300.0,0.966
2026-07-12,Non-Brand Search | Supplements + Conditions,Non-Brand Search,267.99,1668,118,2,185.19,2,184.0,0.373
2026-07-12,Shopping | Standard | All Products,Shopping,195.94,6583,205,2,184.91,2,184.0,
