date,campaign_name,ad_set_name,ad_id,ad_name,spend,impressions,clicks,frequency_7d,purchases,purchase_value,new_customer_purchases,new_customer_value
2026-04-29,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-103,TEST | UGC: Gym Bag Tour,111.68,3057,27,1.72,2,188.94,2,188.94
2026-04-29,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-104,TEST | Video: 60s Explainer,91.9,2339,31,1.68,1,91.24,1,91.24
2026-04-30,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,777.74,26291,302,1.82,16,1512.96,14,1365.28
2026-04-30,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,617.02,20235,190,1.88,12,1125.5,11,1056.78
2026-04-30,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,1050.01,31268,434,1.9,28,2515.14,25,2338.95
2026-04-30,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,698.23,20765,238,1.97,14,1194.09,13,1128.47
2026-04-30,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,264.38,7143,65,1.91,4,370.42,4,370.42
2026-04-30,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,302.69,7582,75,1.6,3,289.06,3,289.06
2026-04-30,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,179.11,5474,43,1.92,1,87.33,1,87.33
2026-04-30,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,206.81,6141,63,1.9,2,186.12,2,186.12
2026-04-30,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,298.18,7702,156,1.82,10,800.82,3,288.28
2026-04-30,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,218.16,6643,123,1.97,9,688.36,3,277.68
2026-04-30,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,151.39,4715,74,1.92,6,460.7,2,184.03
2026-04-30,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',113.66,4025,35,1.93,2,179.45,2,179.45
2026-04-30,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,107.72,3645,27,1.93,2,189.79,2,189.79
2026-04-30,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-103,TEST | UGC: Gym Bag Tour,120.11,3481,22,1.7,1,82.5,1,82.5
2026-04-30,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-104,TEST | Video: 60s Explainer,117.07,2947,40,1.76,1,94.26,1,94.26
2026-05-01,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,716.22,18256,224,1.82,11,1036.33,10,965.91
2026-05-01,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,533.85,17259,155,1.77,10,858.87,9,789.37
2026-05-01,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,779.09,20970,361,1.9,18,1721.45,16,1584.43
2026-05-01,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,615.62,17573,190,1.73,16,1402.86,14,1258.94
2026-05-01,Scaling | ASC | Core Products,ASC | Broad,AD-019,Carousel | Ingredient Transparency | Multi,377.18,11774,104,1.6,7,617.2,6,549.87
2026-05-01,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,232.45,7668,69,2.1,3,317.62,3,317.62
2026-05-01,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,295.06,9949,105,1.63,3,277.53,3,277.53
2026-05-01,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,141.13,4686,34,2.02,1,92.04,1,92.04
2026-05-01,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,186.82,4671,45,2.1,2,188.61,2,188.61
2026-05-01,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,329.94,11529,255,1.81,10,730.64,3,285.84
2026-05-01,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,188.57,5918,123,1.81,6,442.45,2,173.7
2026-05-01,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-203,Video | Reviews Social Proof | All Products,151.95,5211,82,2.04,3,226.66,1,87.56
2026-05-01,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-101,TEST | Hook: 'Doctor said WHAT',105.97,3728,36,1.99,2,183.1,2,183.1
2026-05-01,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-102,TEST | Static: Label Closeup,95.14,2760,19,2.01,2,182.49,2,182.49
2026-05-01,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-103,TEST | UGC: Gym Bag Tour,113.08,3320,26,1.98,2,163.85,2,163.85
2026-05-01,Testing | ABO | Weekly Concepts,Testing | Broad 18-65,AD-104,TEST | Video: 60s Explainer,107.74,3661,51,1.98,1,96.81,1,96.81
2026-05-02,Scaling | ASC | Core Products,ASC | Broad,AD-011,UGC | Morning Routine | Sarah K | Bio-Avail Multi,723.94,20197,249,1.67,12,1085.27,11,1012.07
2026-05-02,Scaling | ASC | Core Products,ASC | Broad,AD-012,Static | 'One Scoop' Benefit Stack | Multi,440.75,14380,131,1.7,6,491.34,5,426.61
2026-05-02,Scaling | ASC | Core Products,ASC | Broad,AD-014,Video | Founder Story | Chris | Bio-Avail Multi,813.38,22268,288,1.9,18,1513.42,16,1389.8
2026-05-02,Scaling | ASC | Core Products,ASC | Broad,AD-016,UGC | 'I Quit 6 Supplements' | Mark T | Multi,597.64,16111,151,1.81,9,810.75,8,741.49
2026-05-02,Scaling | ASC | Core Products,ASC | Broad,AD-019,Carousel | Ingredient Transparency | Multi,415.83,11959,93,1.76,6,523.24,5,459.76
2026-05-02,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-005,Static | Organ Meats Without the Taste | Organs,255.73,6611,67,1.69,3,272.48,3,272.48
2026-05-02,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-007,Video | Why Multivitamins Fail | Multi,322.14,10615,98,1.89,4,349.03,4,349.03
2026-05-02,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-008,Static | Clinician-Grade Standard | Brand,159.26,5377,37,1.69,1,88.78,1,88.78
2026-05-02,Prospecting | Interest Stacks,Stack | Health & Wellness,AD-009,Video | Omega Freshness Test | Omega,231.86,6563,61,1.73,2,177.55,2,177.55
2026-05-02,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-201,DPA | Viewed Product 14D | Dynamic,224.91,7633,183,1.91,7,543.32,2,196.26
2026-05-02,Remarketing | DPA | Engagers 30D,Engagers + Visitors 30D,AD-202,Static | 'Still Thinking It Over?' 10% Offer,184.5,5622,108,1.62,3,234.52,1,94.61
